time_ms,packet_delay_ms,normalized_delta_phi,is_replay,detected_by_threshold
38900,5.774268,0.244623,0,0
39000,88.512829,0.093903,1,0
39100,0.477728,0.093122,0,0
39200,2.989043,0.092370,0,0
39300,4.329560,0.091544,0,0
39400,6.872633,0.090718,0,0
39500,103.354234,0.071932,1,0
39600,4.039297,0.072765,0,0
39700,8.898581,0.073555,0,0
39800,1.805159,0.074456,0,0
39900,5.533066,0.075253,0,0
40000,10.349206,0.163795,1,0
40100,3.307366,0.164553,0,0
40200,8.021772,0.165231,0,0
40300,3.529209,0.165875,0,0
40400,4.510576,0.166478,0,0
40500,14.794408,0.258442,1,0
40600,2.025666,0.258918,0,0
40700,3.195133,0.259320,0,0
40800,4.985701,0.259704,0,0
40900,7.649840,0.259954,0,0
41000,98.509180,0.418079,1,0
41100,2.266380,0.418115,0,0
41200,6.240975,0.418004,0,0
41300,4.548183,0.417784,0,0
41400,8.536548,0.417407,0,0
41500,141.429705,0.609010,1,0
41600,1.715979,0.608299,0,0
41700,7.296552,0.607401,0,0
41800,3.691342,0.606318,0,0
41900,7.518556,0.605046,0,0
42000,90.778895,0.755452,1,1
42100,8.335128,0.753808,0,1
42200,5.796777,0.751983,0,1
42300,1.780064,0.749976,0,1
42400,6.270836,0.747704,0,1
42500,142.589646,0.938237,1,1
42600,3.757715,0.935487,0,1
42700,0.448297,0.932341,0,1
42800,6.315059,0.928943,0,1
42900,1.355701,0.925267,0,1
43000,110.768581,0.910963,1,1
43100,2.732141,0.914874,0,1
43200,8.984842,0.918523,0,1
43300,3.725260,0.921921,0,1
43400,1.127105,0.924976,0,1
43500,42.500151,0.814358,1,1
43600,3.059643,0.816915,0,1
43700,2.177782,0.819231,0,1
43800,5.425678,0.821289,0,1
43900,3.162393,0.823049,0,1
44000,105.731355,0.660886,1,1
44100,2.246240,0.662198,0,1
44200,7.753063,0.663353,0,1
44300,7.624207,0.664311,0,1
44400,5.999590,0.665142,0,1
44500,96.953726,0.509043,1,0
44600,3.561376,0.509529,0,0
44700,0.551697,0.509837,0,0
44800,5.152563,0.510021,0,0
44900,3.781056,0.510066,0,0
45000,5.739871,0.425773,1,0
45100,3.881309,0.425538,0,0
45200,2.693370,0.425070,0,0
45300,3.357479,0.424494,0,0
45400,2.838042,0.423841,0,0
45500,1.272185,0.423022,0,0
45600,4.313804,0.422113,0,0
45700,4.089636,0.421036,0,0
45800,1.664851,0.419820,0,0
45900,3.680479,0.418432,0,0
