time_ms,mode,continuity_score,handoff_event_bool
22700,WNN,0.974501,0
22800,WNN,0.973888,0
22900,WNN,0.973277,0
23000,WNN,0.972652,0
23100,WNN,0.972031,0
23200,WNN,0.971401,0
23300,WNN,0.970776,0
23400,WNN,0.970156,0
23500,WNN,0.969535,0
23600,WNN,0.968924,0
23700,WNN,0.968297,0
23800,WNN,0.967683,0
23900,WNN,0.967073,0
24000,WNN,0.966448,0
24100,WNN,0.965828,0
24200,WNN,0.965211,0
24300,WNN,0.964599,0
24400,WNN,0.963980,0
24500,WNN,0.963365,0
24600,WNN,0.962758,0
24700,WNN,0.962143,0
24800,WNN,0.961530,0
24900,WNN,0.960924,0
25000,WNN,0.960314,0
25100,WNN,0.959704,0
25200,WNN,0.959089,0
25300,WNN,0.958473,0
25400,WNN,0.957860,0
25500,WNN,0.957245,0
25600,WNN,0.956629,0
25700,WNN,0.956021,0
25800,WNN,0.955416,0
25900,WNN,0.954809,0
26000,WNN,0.954196,0
26100,WNN,0.953599,0
26200,WNN,0.952999,0
26300,WNN,0.952393,0
26400,WNN,0.951797,0
26500,WNN,0.951183,0
26600,WNN,0.950574,0
26700,WNN,0.949966,0
26800,WNN,0.949366,0
26900,WNN,0.948748,0
27000,WNN,0.948136,0
27100,WNN,0.947528,0
27200,WNN,0.946934,0
27300,WNN,0.946352,0
27400,WNN,0.945757,0
27500,WNN,0.945154,0
27600,WNN,0.944544,0
27700,WNN,0.943943,0
27800,WNN,0.943344,0
27900,WNN,0.942742,0
28000,WNN,0.942146,0
28100,WNN,0.941543,0
28200,WNN,0.940946,0
28300,WNN,0.940351,0
28400,WNN,0.939762,0
28500,WNN,0.939166,0
28600,WNN,0.938579,0
28700,WNN,0.937997,0
28800,WNN,0.937417,0
28900,WNN,0.936814,0
29000,WNN,0.936223,0
29100,WNN,0.935627,0
29200,WNN,0.935032,0
29300,WNN,0.934434,0
29400,WNN,0.933850,0
29500,WNN,0.933265,0
29600,WNN,0.932685,0
29700,WNN,0.932099,0
29800,WNN,0.931502,0
29900,WNN,0.930927,0
30000,WNN,0.930349,1
30100,WNN,0.930274,0
30200,WNN,0.930619,0
30300,WNN,0.931154,0
30400,WNN,0.931757,0
30500,WNN,0.932412,0
30600,WNN,0.933083,0
30700,WNN,0.933753,0
30800,WNN,0.934429,0
30900,WNN,0.935116,0
31000,WNN,0.935789,0
31100,WNN,0.936477,0
31200,WNN,0.937153,0
31300,WNN,0.937826,0
31400,WNN,0.938498,0
31500,WNN,0.939180,0
31600,WNN,0.939863,0
31700,WNN,0.940547,0
31800,WNN,0.941206,0
31900,WNN,0.941877,0
32000,WNN,0.942558,0
32100,WNN,0.943236,0
32200,WNN,0.943916,0
32299,WNN,0.944604,0
32400,WNN,0.945278,0
32500,WNN,0.945947,0
32600,WNN,0.946610,0
32700,WNN,0.947290,0
32800,WNN,0.947970,0
32900,WNN,0.948635,0
33000,WNN,0.949298,0
33100,WNN,0.949962,0
33200,WNN,0.950628,0
33300,WNN,0.951295,0
33400,WNN,0.951952,0
33500,WNN,0.952628,0
33600,WNN,0.953294,0
33700,WNN,0.953957,0
33800,WNN,0.954632,0
33900,WNN,0.955297,0
34000,WNN,0.955962,0
34100,WNN,0.956625,0
34200,WNN,0.957289,0
34300,WNN,0.957956,0
34400,WNN,0.958618,0
34500,WNN,0.959282,0
34600,WNN,0.959950,0
